Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average
170.03989138552444,173.12410000549235,169.06486968930292,172.11924743652344,55980100,0.0,0.0,
172.1689777369307,172.78581635955783,170.57711752105575,172.55699157714844,43816600,0.0,0.0,
171.0049400513548,172.1789252215355,169.7811912207508,170.22891235351562,57157000,0.0,0.0,
169.50262292880518,170.50749062478292,164.82655417657887,166.04034423828125,70625300,0.0,0.0,
166.0602429775063,168.09980919529085,165.98064844624932,167.3635711669922,58499100,0.0,0.0,169.66181335449218
168.15951125981562,170.29855938255494,168.01026581195362,169.42303466796875,51131000,0.0,0.0,169.12257080078126
168.48783537237242,170.0299320873337,167.04520526182563,169.90060424804688,44846000,0.0,0.0,168.59129333496094
170.12942412346382,173.34297566175312,169.25389942206778,173.0843048095703,56934900,0.0,0.0,169.16237182617186
174.62641877485564,176.87490748026258,174.56672666832972,176.66598510742188,77334800,0.0,0.0,171.2875
173.35293714814614,175.91980400512907,172.46746880912187,175.7506561279297,79763700,0.0,0.0,172.9649169921875
175.4820388495612,178.51649888788603,175.31290615616416,178.31752014160156,63841300,0.0,0.0,174.74381408691406
178.26777400701332,181.5111868204666,178.05885163405057,180.89434814453125,70530000,0.0,0.0,176.94256286621095
181.4216486820497,182.51603939170596,180.665508182576,181.95889282226562,49340300,0.0,0.0,178.71748046875
182.02854143945973,183.18262424113618,180.88438708061216,181.48133850097656,53763500,0.0,0.0,179.68055114746093
183.27455154185228,185.86472901353824,182.83621241269552,185.6953582763672,66133400,0.24,0.0,181.66949157714845
185.11755829725763,185.32675592881043,183.51364391722342,184.10140991210938,43627500,0.0,0.0,182.82626953125
186.99042643314226,187.3988801404597,185.59572499487004,186.73141479492188,60108400,0.0,0.0,183.99368286132812
187.13987177614973,188.78362815723474,187.0701291024632,187.29925537109375,53790500,0.0,0.0,185.06175537109374
188.85337347970633,190.2381182374616,187.9368379901175,188.9928436279297,54412900,0.0,0.0,186.56405639648438
189.53079624428992,189.66030966849544,187.85715445966235,188.97291564941406,50922700,0.0,0.0,187.21956787109374
189.17214189972287,191.1845097763687,189.16218517598037,190.7262420654297,46505100,0.0,0.0,188.5445343017578
190.6864202228131,190.79600500003974,189.02273511481332,189.91932678222656,38134500,0.0,0.0,189.18211669921874
190.7661194461664,192.20066307246498,190.10861078342128,190.5867919921875,39617700,0.0,0.0,189.8396240234375
190.14843790944465,190.1783232825699,188.53456695625997,189.25184631347656,24048300,0.0,0.0,189.89142456054688
189.2020384462403,189.94920320088846,188.18589012360914,189.07252502441406,40552600,0.0,0.0,189.91134643554688
189.06257021852784,190.35765884661393,188.68400187464417,189.6802215576172,38415400,0.0,0.0,189.70214233398437
190.17834402840006,191.3638479620414,188.25564720911126,188.6541290283203,43014200,0.0,0.0,189.44910278320313
189.12233356607825,189.60052993998752,187.47857723394316,189.23191833496094,48794400,0.0,0.0,189.17812805175782
189.61049575839724,190.83584172296256,188.51464801700962,190.51705932617188,45679300,0.0,0.0,189.43117065429686
189.2618062982008,189.33154897076486,186.74137178051248,188.71388244628906,43389500,0.0,0.0,189.35944213867188
189.49095553635823,193.66510330405998,189.46105496038606,192.68881225585938,66628400,0.0,0.0,189.9611602783203
193.71492476298596,194.0237504491889,191.38377422735084,191.59298706054688,41089700,0.0,0.0,190.54893188476564
192.89803398525805,194.26285017082193,192.85817668285955,193.53561401367188,47477700,0.0,0.0,191.4096710205078
193.46585241287198,195.2490940936735,192.9378572160349,194.97015380859375,53377300,0.0,0.0,192.3002899169922
192.37997955947677,192.75854789543507,190.69636589832197,192.44970703125,60943700,0.0,0.0,193.04745483398438
192.35011019828545,193.9839099721223,190.99525073697387,193.9739532470703,52696900,0.0,0.0,193.30448303222656
194.35249384296804,197.25149676182392,194.1134108483282,197.21165466308594,70404200,0.0,0.0,194.42821655273437
197.27142786027224,198.86537024837708,195.4184586232846,197.361083984375,66831600,0.0,0.0,195.193310546875
196.78326281926297,197.649969035306,196.25526763005226,196.8231201171875,128256700,0.0,0.0,195.56390380859375
195.3487007217121,195.88666782660886,193.65513041587283,195.1494598388672,55751900,0.0,0.0,196.10385437011718
195.41846071151812,196.2054675888958,195.14947713522938,196.1955108642578,40714100,0.0,0.0,196.54816589355468
196.1556575241543,196.93270769258373,194.09349060058594,194.09349060058594,52242800,0.0,0.0,195.92453308105468
195.35867601686434,196.3349670004207,192.76849889188017,193.94403076171875,46482500,0.0,0.0,195.24112243652343
194.44216262458167,194.6713041108371,192.24052549970972,192.86814880371094,37122800,0.0,0.0,194.45012817382812
192.87810156107636,193.15704186798172,192.1010513916819,192.32022094726562,28919300,0.0,0.0,193.8842803955078
191.7623368685013,192.7685133001503,190.36762015806895,192.41983032226562,48087700,0.0,0.0,193.12914428710937
193.4060861494978,193.92412463427104,192.43975185339073,192.84820556640625,34049900,0.0,0.0,192.88008728027344
193.16700123613595,193.6651111054412,191.00520622748397,191.80218505859375,42628800,0.0,0.0,192.45171813964845
186.44250337800963,187.72763525264537,183.1948327572495,184.93821716308594,82488700,0.0,0.0,190.86573181152343
183.5235966803731,185.17732505163676,182.7365745947604,183.55348205566406,58414500,0.0,0.0,189.1123840332031
181.4614035444303,182.39785244955465,180.19621553109513,181.22232055664062,71983600,0.0,0.0,186.8728820800781
181.3020374348382,182.0691156961024,179.48891019670765,180.49508666992188,62303300,0.0,0.0,184.40225830078126
181.40163701859532,184.8983778074419,180.81387105846133,184.8585205078125,59144500,0.0,0.0,183.013525390625
